,formula_pretty,formation_energy_per_atom
0,Zn2B2PbO6,-2.2554614698484854
1,Nd4GaSbS9,-1.8395398243749999
2,Tm2Pt,-0.9918405536111106
3,CsRb2MoF6,-2.8904163407931036
4,Ta3(BiS3)2,-1.1721218726136364
5,KMgSb,-0.6499148243333336
6,Er6Nb4Al43,-0.3272981344339625
7,SiH7N2F5,-1.7695719908333336
8,CsK4GaO4,-1.714143570868103
9,NaPt2Se3,-0.8154667601804958
10,Lu(Al2Fe)4,-0.4278970715384619
11,ThGe2,-0.6381049316666664
12,NaMo3P3O16,-2.354890295284858
13,Yb2Be2SiO7,-3.070398138333333
14,Tm4Ni13C4,-0.36080306079364954
15,Rb(CoS)2,-0.8140856027500007
16,BaAlSi5N7O2,-1.805304950937499
17,Si3P2Pt,-0.3719417977777771
18,HoMgRh2,-0.73567524
19,Er4Zn5Ge6,-0.5348447063333334
20,Lu3Ru,-0.39629680687499924
21,Lu5Ni2Sb,-0.589160674375
22,Pr5As2ClO10,-3.2081585513888893
23,KNiPH2O5,-2.0123757956333335
24,K30Ga9As19,-0.4796686762500002
25,Ba3Ca3(MoN4)2,-1.1113949937500003
26,Fe3N,-0.15822943000000045
27,Th(SiRu)2,-0.9216550099999992
28,KHoBeF6,-3.9015904908888888
29,Sc5Cl8,-2.155986328846154
30,AgTeO3,-1.1485025948333338
31,NaEuTi8(PO4)12,-3.0440971761174067
32,Ni3S2,-0.5718173232499992
33,UTcC2,-0.17926274937499898
34,Hf2Zn,-0.17770741333333362
35,Y3Tl5,-0.31870111770833365
36,DyCdGa,-0.5129636413888888
37,Gd2TiO5,-3.8283763654166663
38,RbV3Cd3O11,-2.1008986015277773
39,ZnSiH12(OF)6,-1.8740728659615387
40,ZrScFe4,-0.2930441875000002
41,Li2SmTl,-0.25250188875000035
42,RbCO2,-1.8967016821875005
43,Lu(CoGe)2,-0.5812641280000002
44,Pm2ZnSi,-0.42785327124999917
45,Ho6H40N8O49,-1.5706781861650487
46,Na2CoP2O7,-2.4720867161266766
47,Sr(CoGe)2,-0.42725011933333334
48,Ir2S3,-0.6673772178749993
49,LiBH4,-0.45020992291666734
50,SrMg3SiN4,-1.1451167111574074
51,Ba2GaBiSe5,-1.4934515515798605
52,Nb2Pd,-0.23208271999999988
53,La2O3,-3.8741430962500005
54,Gd3Sb4Au3,-0.9209947189999994
55,K2Sn2Hg3S8,-0.7899911633999996
56,Tb(SiIr)2,-1.094703982
57,PrScO3,-3.8814548554999995
58,Er2(Ga3Co)3,-0.48115236589285715
59,Ti4NiBi2,-0.2826252176190473
60,Ta2Co3Si,-0.48567295416666667
61,ThSi,-0.658431375000001
62,TbAgTe2,-1.131845967916667
63,K2Ag2SnSe4,-0.847447250412037
64,Zr3As2,-1.0542818800000007
65,Ba(GdS2)2,-2.4378958224999994
66,CuSb2(XeF8)2,-2.004038634285714
67,LiYbGe2,-0.5566613795833333
68,SrLaCuS3,-1.968019794756944
69,ThAs,-1.3958089425000004
